"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning","Director","Actor"
1,"Le ali della liberta","    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142,"Drama",9.3,80,2190730,28.34,"Frank Darabont","Tim Robbins"
2,"Il padrino","    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",175,"Crime",9.2,100,1509403,134.9,"Francis Ford Coppola","Marlon Brando"
3,"Il cavaliere oscuro","    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152,"Action",9,84,2173300,534.8,"Christopher Nolan","Christian Bale"
4,"Il padrino - Parte II","    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202,"Crime",9,90,1057218,57.3,"Francis Ford Coppola","Al Pacino"
5,"Il Signore degli Anelli - Il ritorno del re","    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",201,"Adventure",8.9,94,1558153,377.8,"Peter Jackson","Elijah Wood"
6,"Pulp Fiction","    The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154,"Crime",8.9,94,1721389,107.9,"Quentin Tarantino","John Travolta"
7,"Schindler's List","    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195,"Biography",8.9,94,1143579,96.9,"Steven Spielberg","Liam Neeson"
8,"La parola ai giurati","    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",96,"Drama",8.9,96,638862,4.36,"Sidney Lumet","Henry Fonda"
9,"Inception","    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",148,"Action",8.8,74,1922240,292.5,"Christopher Nolan","Leonardo DiCaprio"
10,"Fight Club","    An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",139,"Drama",8.8,66,1749861,37.03,"David Fincher","Brad Pitt"
11,"Il Signore degli Anelli - La compagnia dell'Anello","    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",178,"Adventure",8.8,92,1569943,315.5,"Peter Jackson","Elijah Wood"
12,"Forrest Gump","    The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",142,"Drama",8.8,82,1690001,330.2,"Robert Zemeckis","Tom Hanks"
13,"Il buono, il brutto, il cattivo","    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.",161,"Western",8.8,90,649867,6.1,"Sergio Leone","Clint Eastwood"
14,"Il Signore degli Anelli - Le due torri","    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179,"Adventure",8.7,87,1406552,342.5,"Peter Jackson","Elijah Wood"
15,"Matrix","    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",136,"Action",8.7,73,1577432,171.4,"Lana Wachowski","Keanu Reeves"
16,"Quei bravi ragazzi","    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",146,"Biography",8.7,90,952891,46.84,"Martin Scorsese","Robert De Niro"
17,"L'Impero colpisce ancora","    After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",124,"Action",8.7,82,1100174,290.4,"Irvin Kershner","Mark Hamill"
18,"Qualcuno volo sul nido del cuculo","    A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",133,"Drama",8.7,83,863965,112,"Milos Forman","Jack Nicholson"
19,"Harakiri","    When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",133,"Action",8.7,85,30305,NA,"Masaki Kobayashi","Tatsuya Nakadai"
20,"Joker","    In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",122,"Crime",8.6,59,677370,192.7,"Todd Phillips","Joaquin Phoenix"
21,"Parasite","    A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure.",132,"Comedy",8.6,96,243023,NA,"Bong Joon Ho","Kang-ho Song"
22,"Interstellar","    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",169,"Adventure",8.6,74,1375472,188,"Christopher Nolan","Matthew McConaughey"
23,"City of God","    In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130,"Crime",8.6,79,666864,7.56,"Fernando Meirelles","Alexandre Rodrigues"
24,"La citta incantata","    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125,"Animation",8.6,96,587281,10.06,"Hayao Miyazaki","Daveigh Chase"
25,"Salvate il soldato Ryan","    Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",169,"Drama",8.6,91,1161844,216.5,"Steven Spielberg","Tom Hanks"
26,"Il miglio verde","    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",189,"Crime",8.6,61,1068586,136.8,"Frank Darabont","Tom Hanks"
27,"La vita e bella","    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",116,"Comedy",8.6,59,580707,57.6,"Roberto Benigni","Roberto Benigni"
28,"Seven","    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127,"Crime",8.6,65,1349209,100.1,"David Fincher","Morgan Freeman"
29,"Il silenzio degli innocenti","    A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118,"Crime",8.6,85,1188800,130.7,"Jonathan Demme","Jodie Foster"
30,"Guerre stellari","    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",121,"Action",8.6,90,1172326,322.7,"George Lucas","Mark Hamill"
31,"I sette samurai","    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.",207,"Action",8.6,98,296631,0.27,"Akira Kurosawa","Toshiro Mifune"
32,"La vita e meravigliosa","    An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.",130,"Drama",8.6,89,376043,NA,"Frank Capra","James Stewart"
33,"1917","    April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",119,"Drama",8.5,78,179378,NA,"Sam Mendes","Dean-Charles Chapman"
34,"Avengers: Endgame","    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,"Action",8.5,78,667177,858.3,"Anthony Russo","Robert Downey Jr."
35,"Avengers: Infinity War","    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",149,"Action",8.5,68,747177,678.8,"Anthony Russo","Robert Downey Jr."
